model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snapshot,none,10,50,25600,12379,0.4835546875,0.11882139373197363,6.807964376704303,5.104850841916933,0.7416015625,7.073882705662359,5.341647909569121
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snapshot,none,10,50,25600,10898,0.425703125,0.17934477598521878,10.275698741672237,7.656893621477606,0.6028125,10.301346622170886,7.631136929697044
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snapshot,none,10,50,25600,25600,1.0,0.2582845864010722,14.798616714063494,10.957449328748094,0.4430859375,14.798616714063495,10.957449328748094
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snapshot,none,10,50,25600,6426,0.251015625,0.23343078439403095,13.374598754206255,10.027810257471119,0.4375390625,18.758016987788938,13.973902705297643
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snapshot,none,10,50,25600,6426,0.251015625,0.23343078439403095,13.374598754206255,10.027810257471119,0.4375390625,18.758016987788938,13.973902705297643
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snapshot,none,10,50,25600,25600,1.0,0.2618642541117746,15.003716565945998,11.140928465415696,0.439453125,15.003716565946,11.140928465415696
FP-MUSIC/mdl,FP-MUSIC/mdl,,snapshot,none,10,50,25600,19362,0.756328125,0.10309203498030943,5.906738505786779,4.135478726623007,0.781875,5.781794042054709,4.081446244765412
FP-MUSIC/aic,FP-MUSIC/aic,,snapshot,none,10,50,25600,19047,0.7440234375,0.1258276229478864,7.209391741077357,5.041124871380705,0.72828125,7.1346432771186885,5.015501588815584
FP-MUSIC/oracle,FP-MUSIC/oracle,,snapshot,none,10,50,25600,25600,1.0,0.18465210099092227,10.579786065003292,7.487484845767841,0.6102734375,10.579786065003296,7.487484845767841
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snapshot,none,10,100,25600,13316,0.52015625,0.11839556111380231,6.7835659649040805,5.015896249542724,0.751875,6.755408818690185,5.044172035862823
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snapshot,none,10,100,25600,10129,0.3956640625,0.1772270025737912,10.154359263232415,7.518287898575117,0.6091015625,10.460051881176968,7.67215824819539
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snapshot,none,10,100,25600,25600,1.0,0.23645982940515328,13.548150249298722,9.917665502877416,0.485859375,13.548150249298724,9.917665502877416
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snapshot,none,10,100,25600,6401,0.2500390625,0.21699433946697005,12.432859829686453,9.210843344851174,0.4823828125,17.899595011022054,13.129812928248857
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snapshot,none,10,100,25600,6401,0.2500390625,0.21699433946697005,12.432859829686453,9.210843344851174,0.4823828125,17.899595011022054,13.129812928248857
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snapshot,none,10,100,25600,25600,1.0,0.2417866430472747,13.85335418924499,10.189353742591912,0.4822265625,13.853354189244987,10.189353742591912
FP-MUSIC/mdl,FP-MUSIC/mdl,,snapshot,none,10,100,25600,19837,0.7748828125,0.09097921661017253,5.212725135169402,3.6338376913023795,0.808359375,5.029207539237193,3.5383983346648864
FP-MUSIC/aic,FP-MUSIC/aic,,snapshot,none,10,100,25600,19598,0.765546875,0.11242221608082692,6.441318504939157,4.475172536097225,0.7578125,6.3341643689899465,4.4303483490505045
FP-MUSIC/oracle,FP-MUSIC/oracle,,snapshot,none,10,100,25600,25600,1.0,0.16781976642020724,9.61536433474917,6.76090678915261,0.644296875,9.61536433474917,6.76090678915261
