model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,none,-10,200,25600,6400,0.25,0.11789085633366193,6.7546485111019585,5.473616269562981,0.7039453125,11.707182982401342,9.378974909572628
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,none,-10,200,25600,7878,0.307734375,0.13507401505399455,7.739170984480435,6.106623173681819,0.671640625,11.368736865974268,9.00178241071839
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,none,-10,200,25600,25600,1.0,0.31748372707822997,18.190477625665867,13.980560510617273,0.315390625,18.190477625665864,13.980560510617273
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,none,-10,200,25600,8526,0.333046875,0.14954108803015972,8.568073207922465,6.705132546552006,0.6373828125,12.224113014422123,9.599375863532536
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,none,-10,200,25600,7215,0.2818359375,0.2719167694476561,15.579683268182542,12.067003448595745,0.327734375,19.925923282795672,15.279990439540509
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,none,-10,200,25600,25600,1.0,0.3174853731758432,18.190571940111774,13.98254594047668,0.3155078125,18.190571940111774,13.98254594047668
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,none,-10,200,25600,6515,0.2544921875,0.10394257472437406,5.955470843429819,4.780359732287329,0.7324609375,9.924784214858493,7.872144715522986
FP-MUSIC/aic,FP-MUSIC/aic,,snr,none,-10,200,25600,12139,0.4741796875,0.14862777106130884,8.51574400024963,6.453365428364564,0.6577734375,9.623926178702504,7.395968454386454
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,none,-10,200,25600,25600,1.0,0.29437571838122295,16.866486254375765,12.776888326126702,0.3696875,16.866486254375765,12.776888326126702
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,none,-8,200,25600,6406,0.250234375,0.10478547012083811,6.003765192218216,4.84857270524035,0.7341015625,10.256220837151789,8.163216422394113
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,none,-8,200,25600,11361,0.4437890625,0.13889514889991642,7.958105826806349,6.087872734002859,0.6769140625,9.302494108075013,7.215076670221205
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,none,-8,200,25600,25600,1.0,0.2972871443425835,17.033298674326545,12.939761034720313,0.361015625,17.033298674326545,12.939761034720313
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,none,-8,200,25600,12986,0.507265625,0.1774875808261447,10.169289297325163,7.717048909074239,0.5892578125,11.57447478893717,8.866592514660207
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,none,-8,200,25600,6904,0.2696875,0.25791347368998063,14.77735352199429,11.316547737191796,0.368828125,19.35040221111655,14.646494785486276
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,none,-8,200,25600,25600,1.0,0.2974664311452607,17.043571051442342,12.952585956510655,0.3611328125,17.043571051442346,12.952585956510655
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,none,-8,200,25600,10846,0.423671875,0.09417344639372872,5.395741020562158,4.159183926644024,0.7804296875,6.300244470420834,4.902318177841743
FP-MUSIC/aic,FP-MUSIC/aic,,snr,none,-8,200,25600,13653,0.5333203125,0.1447632693905456,8.29432436459364,6.185871979042952,0.678359375,9.021986775342373,6.825769865369584
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,none,-8,200,25600,25600,1.0,0.2747569651750314,15.742414496352238,11.775147312831532,0.4143359375,15.74241449635224,11.775147312831532
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,none,-6,200,25600,8148,0.31828125,0.09677699323551703,5.5449132663612435,4.393780237775896,0.7578125,7.66306216928464,6.0138046497187005
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,none,-6,200,25600,12887,0.5033984375,0.14161617350179698,8.11400905244537,6.0957557956869834,0.6816796875,8.894431696708452,6.771906092996735
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,none,-6,200,25600,25600,1.0,0.28463575255845336,16.3084273201294,12.264934019125755,0.39640625,16.3084273201294,12.264934019125755
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,none,-6,200,25600,14045,0.5486328125,0.20748820788898786,11.888198610772037,8.9136165657929,0.528203125,12.900364876654589,9.750061941529925
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,none,-6,200,25600,6590,0.257421875,0.2482356526296029,14.222855220351821,10.78456484576696,0.3981640625,19.18040295021808,14.414293654053997
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,none,-6,200,25600,25600,1.0,0.2847282657535942,16.313727935760244,12.273121524376315,0.3962109375,16.313727935760244,12.273121524376315
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,none,-6,200,25600,12767,0.4987109375,0.09150418949716986,5.242803865953148,3.961408797674285,0.8048828125,5.6223119307725105,4.3016358004937505
FP-MUSIC/aic,FP-MUSIC/aic,,snr,none,-6,200,25600,14572,0.56921875,0.14244005513861174,8.161213993053186,6.009564988542878,0.6903125,8.59517898918949,6.415436385563084
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,none,-6,200,25600,25600,1.0,0.2596227476364828,14.875287705160533,10.988797927807727,0.4505078125,14.875287705160531,10.988797927807727
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,none,-4,200,25600,11093,0.4333203125,0.09186741465755198,5.263615134656005,4.04962249492754,0.7891015625,5.93935197925061,4.611941836963706
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,none,-4,200,25600,13839,0.5405859375,0.14539916803173095,8.330758672931664,6.198735048303382,0.68109375,8.871798083760956,6.695935250545287
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,none,-4,200,25600,25600,1.0,0.2707153004672661,15.51084416639031,11.563113061891176,0.42421875,15.510844166390312,11.563113061891176
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,none,-4,200,25600,12804,0.50015625,0.22854968788250857,13.094932524699994,9.789323172450267,0.4783984375,14.515094052727394,10.853278210556406
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,none,-4,200,25600,6440,0.2515625,0.23777890668315554,13.623727810179856,10.2532326725147,0.42453125,18.502393749905597,13.727684422204955
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,none,-4,200,25600,25600,1.0,0.2718961689641997,15.578502947424564,11.620910205892617,0.422734375,15.578502947424562,11.620910205892617
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,none,-4,200,25600,14117,0.5514453125,0.09096060983038193,5.211659045217071,3.873679817869712,0.8129296875,5.389996571289205,4.064918633767976
FP-MUSIC/aic,FP-MUSIC/aic,,snr,none,-4,200,25600,15574,0.608359375,0.13750001524752553,7.878170556667681,5.726166133164011,0.7035546875,8.166753090766084,6.0160891975732715
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,none,-4,200,25600,25600,1.0,0.2428547425939997,13.914551785372169,10.181057836076512,0.486171875,13.914551785372169,10.181057836076512
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,none,-2,200,25600,12465,0.4869140625,0.08745527417123043,5.010818106170982,3.7851439635818487,0.8109375,5.403723286453202,4.117985540691494
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,none,-2,200,25600,14534,0.567734375,0.1435325434530106,8.223808962635603,6.04447687320177,0.6890234375,8.686492642704653,6.455756115556649
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,none,-2,200,25600,25600,1.0,0.2575867065561008,14.758631144339386,10.897375992858954,0.4504296875,14.758631144339386,10.897375992858954
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,none,-2,200,25600,9446,0.368984375,0.2301653867867692,13.18750525287804,9.808624357153988,0.46171875,16.395716427880387,12.196165697683314
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,none,-2,200,25600,6402,0.250078125,0.22724235881767252,13.020028086850104,9.706391408265082,0.4498828125,18.344810856549156,13.57018469835373
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,none,-2,200,25600,25600,1.0,0.25974976721790916,14.882565391091783,11.011315331652204,0.4468359375,14.882565391091783,11.011315331652204
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,none,-2,200,25600,15270,0.596484375,0.08790162752819514,5.036392269696556,3.683463267537431,0.822890625,5.1628233994138695,3.82551012278008
