model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
Trans-MUSIC/seed0,Trans-MUSIC,0,snapshot,none,10,50,25600,17096,0.6678125,0.0709126236961074,4.0629940519863466,3.2303572693923304,0.730703125,3.9543240210829094,3.1127725644817144
Trans-MUSIC/seed1,Trans-MUSIC,1,snapshot,none,10,50,25600,16364,0.63921875,0.07809418871843515,4.474467418064502,3.5852808311807864,0.6812109375,4.461497787533457,3.5444851947007434
Trans-MUSIC/seed2,Trans-MUSIC,2,snapshot,none,10,50,25600,15924,0.62203125,0.08833041087748322,5.060959745936247,4.046531852525734,0.635390625,5.032140216494029,3.9838397233133036
TCN-MUSIC/seed0,TCN-MUSIC,0,snapshot,none,10,50,25600,17664,0.69,0.08251759143574663,4.727909724853149,3.7021899313649658,0.6946484375,4.755381034164065,3.6945814881436005
TCN-MUSIC/seed1,TCN-MUSIC,1,snapshot,none,10,50,25600,17334,0.677109375,0.08259543810738965,4.7323700105874345,3.782453842812094,0.6744140625,4.7263694440256705,3.7415184451787513
TCN-MUSIC/seed2,TCN-MUSIC,2,snapshot,none,10,50,25600,17432,0.6809375,0.06727889115914808,3.854796513739212,3.0318705222532776,0.76546875,3.744455204427274,2.92094185704351
DA-MUSIC/seed0,DA-MUSIC,0,snapshot,none,10,50,25600,9444,0.36890625,0.15707063825031972,8.999484657169434,7.245097237442114,0.293828125,10.997616623856977,8.652880645251287
DA-MUSIC/seed1,DA-MUSIC,1,snapshot,none,10,50,25600,11342,0.443046875,0.13121050325095293,7.517808064067171,6.230339300659778,0.3725390625,8.995086392548911,7.343479321962928
DA-MUSIC/seed2,DA-MUSIC,2,snapshot,none,10,50,25600,8381,0.3273828125,0.16755429170440872,9.600153753966481,7.975148103719821,0.22421875,12.919313953627556,10.475983387612873
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snapshot,none,10,50,25600,18386,0.718203125,0.05776075882666742,3.30944770224106,2.3967919264987327,0.84046875,3.4042223842607013,2.4293210696242507
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snapshot,none,10,50,25600,18482,0.721953125,0.057328631471360685,3.284688628569834,2.3785866018440136,0.8405078125,3.3924835343580666,2.419375026605893
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snapshot,none,10,50,25600,18355,0.7169921875,0.05642776512028561,3.2330727887478816,2.343287665976503,0.8405078125,3.326345403334045,2.372944683312045
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snapshot,none,10,50,25600,18480,0.721875,0.059938407447795335,3.434217777494173,2.4745288451113274,0.834140625,3.5620787841328334,2.529253827250938
