snr_db,k_true,k_hat,count,row_pct
0,2,2,19140,99.69
0,2,3,60,0.31
0,2,4,0,0.0
0,2,5,0,0.0
0,3,2,143,0.74
0,3,3,18731,97.56
0,3,4,313,1.63
0,3,5,13,0.07
0,4,2,23,0.12
0,4,3,360,1.88
0,4,4,18157,94.57
0,4,5,660,3.44
0,5,2,5,0.03
0,5,3,20,0.1
0,5,4,810,4.22
0,5,5,18365,95.65
0,all,accuracy,74393,96.87
10,2,2,19099,99.47
10,2,3,97,0.51
10,2,4,4,0.02
10,2,5,0,0.0
10,3,2,326,1.7
10,3,3,18590,96.82
10,3,4,275,1.43
10,3,5,9,0.05
10,4,2,31,0.16
10,4,3,304,1.58
10,4,4,18337,95.51
10,4,5,528,2.75
10,5,2,0,0.0
10,5,3,23,0.12
10,5,4,526,2.74
10,5,5,18651,97.14
10,all,accuracy,74677,97.24
20,2,2,19118,99.57
20,2,3,79,0.41
20,2,4,3,0.02
20,2,5,0,0.0
20,3,2,265,1.38
20,3,3,18679,97.29
20,3,4,249,1.3
20,3,5,7,0.04
20,4,2,22,0.11
20,4,3,370,1.93
20,4,4,18313,95.38
20,4,5,495,2.58
20,5,2,0,0.0
20,5,3,19,0.1
20,5,4,565,2.94
20,5,5,18616,96.96
20,all,accuracy,74726,97.3
