method,kind,enumeration,num_seeds,rmspe_deg_highsnr,rmspe_deg_seed_sd,mae_deg_highsnr,mae_deg_seed_sd,sr5_highsnr,sr5_seed_sd,mae_deg_kok_highsnr,k_accuracy_highsnr,k_accuracy_seed_sd,rmspe_deg_T1000,mae_deg_T1000,sr5_T1000,k_accuracy_T1000
LCPSN-uncovON,learned,learned K-head,3,1.5344,0.0068,1.0718,0.0039,0.93798,0.00078,1.0416,0.97361,0.00044,1.1107,0.7611,0.96497,0.98941
TCN-MUSIC,learned,learned K-head,3,3.0882,0.4598,2.4551,0.3789,0.85101,0.04792,2.4145,0.94047,0.00526,2.5832,2.0746,0.89941,0.97033
Trans-MUSIC,learned,learned K-head,3,3.0889,0.5097,2.4600,0.4218,0.83589,0.05488,2.3695,0.91935,0.01504,2.8552,2.2880,0.86841,0.95007
DA-MUSIC,learned,learned K-head,3,4.5293,0.6071,3.7184,0.5373,0.67249,0.07151,3.6386,0.77331,0.00980,5.2853,4.3433,0.57733,0.70379
FP-MUSIC/mdl,classical,MDL,1,2.6465,0.0000,1.8862,0.0000,0.90960,0.00000,1.7904,0.92407,0.00000,2.1587,1.5294,0.92883,0.92805
1bMUSIC-naive/mdl,classical,MDL,1,5.2079,0.0000,3.8626,0.0000,0.80756,0.00000,3.3883,0.60070,0.00000,4.8526,3.5779,0.81641,0.51438
1bMUSIC-arcsine/mdl,classical,MDL,1,8.1224,0.0000,6.0977,0.0000,0.66995,0.00000,9.6580,0.25004,0.00000,6.3529,4.6956,0.74906,0.25000
FP-MUSIC/aic,classical,AIC,1,3.1719,0.0000,2.2690,0.0000,0.88784,0.00000,2.2128,0.87795,0.00000,2.7414,1.9499,0.90406,0.88242
1bMUSIC-naive/aic,classical,AIC,1,7.1425,0.0000,5.3423,0.0000,0.72426,0.00000,5.3774,0.44778,0.00000,6.2432,4.6101,0.75090,0.35020
1bMUSIC-arcsine/aic,classical,AIC,1,8.1224,0.0000,6.0977,0.0000,0.66995,0.00000,9.6580,0.25004,0.00000,6.3529,4.6956,0.74906,0.25000
FP-MUSIC/oracle,classical,oracle K,1,4.1599,0.0000,2.9939,0.0000,0.84905,0.00000,2.9939,1.00000,0.00000,3.6140,2.5875,0.86895,1.00000
1bMUSIC-naive/oracle,classical,oracle K,1,8.5185,0.0000,6.3201,0.0000,0.66884,0.00000,6.3201,1.00000,0.00000,6.7883,4.9546,0.73238,1.00000
1bMUSIC-arcsine/oracle,classical,oracle K,1,8.6187,0.0000,6.4243,0.0000,0.67220,0.00000,6.4243,1.00000,0.00000,6.6638,4.8817,0.74902,1.00000
