model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snapshot,8deg,10,50,25600,14873,0.5809765625,0.09855445388529427,5.64675425984406,4.2746800804572,0.7596484375,5.141160503680508,3.9272413153195105
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snapshot,8deg,10,50,25600,13644,0.53296875,0.14374921146556408,8.236223125310405,6.2166113716705595,0.670625,7.778702800968477,5.818282280108033
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snapshot,8deg,10,50,25600,25600,1.0,0.18986701986573418,10.878578907033127,8.21147499743873,0.575390625,10.878578907033127,8.21147499743873
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snapshot,8deg,10,50,25600,6407,0.2502734375,0.1784095888042652,10.22211646314886,7.801633170636921,0.5653515625,14.89471657786968,11.21536620001864
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snapshot,8deg,10,50,25600,6407,0.2502734375,0.1784095888042652,10.22211646314886,7.801633170636921,0.5653515625,14.89471657786968,11.21536620001864
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snapshot,8deg,10,50,25600,25600,1.0,0.19277119131094206,11.044975673825947,8.377908573933299,0.5712890625,11.04497567382595,8.377908573933299
FP-MUSIC/mdl,FP-MUSIC/mdl,,snapshot,8deg,10,50,25600,22747,0.8885546875,0.07125194279794006,4.082435604429528,2.9533288162119784,0.854765625,3.8448416617524734,2.8024390810574524
FP-MUSIC/aic,FP-MUSIC/aic,,snapshot,8deg,10,50,25600,21506,0.840078125,0.08351340319788662,4.784965536013257,3.4755008699391574,0.82625,4.606768023065816,3.35781995096642
FP-MUSIC/oracle,FP-MUSIC/oracle,,snapshot,8deg,10,50,25600,25600,1.0,0.10809293603213992,6.1932690298192,4.538036756384103,0.77328125,6.1932690298191995,4.538036756384103
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snapshot,8deg,10,100,25600,16713,0.6528515625,0.09113076105097612,5.221407992036118,3.886076457523783,0.796171875,4.73239421268663,3.562680893388222
