model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,-10,200,25600,6400,0.25,0.1033082970343278,5.919129408750862,4.909156799853497,0.6973046875,9.416720177722654,7.729866788385827
1bMUSIC-naive/aic,1bMUSIC-naive/aic,,snr,8deg,-10,200,25600,8515,0.3326171875,0.11785327958218866,6.752495521834728,5.43798461876058,0.6725,9.15243665697881,7.388560237319943
1bMUSIC-naive/oracle,1bMUSIC-naive/oracle,,snr,8deg,-10,200,25600,25600,1.0,0.2604544267298941,14.922939407122268,11.639334477525436,0.4051953125,14.92293940712227,11.639334477525436
1bMUSIC-arcsine/mdl,1bMUSIC-arcsine/mdl,,snr,8deg,-10,200,25600,9135,0.3568359375,0.128473861853777,7.361010061968204,5.898080800128762,0.65015625,9.961214112291621,7.988459945700208
1bMUSIC-arcsine/aic,1bMUSIC-arcsine/aic,,snr,8deg,-10,200,25600,7339,0.2866796875,0.22525104155907363,12.905934012260825,10.120762415938003,0.415859375,16.482585968742878,12.760057798835225
1bMUSIC-arcsine/oracle,1bMUSIC-arcsine/oracle,,snr,8deg,-10,200,25600,25600,1.0,0.26041427565752884,14.920638920132813,11.636484207572488,0.4052734375,14.920638920132813,11.636484207572488
FP-MUSIC/mdl,FP-MUSIC/mdl,,snr,8deg,-10,200,25600,6592,0.2575,0.0926903483868445,5.3107657641634285,4.360151021438536,0.71359375,7.496386668148881,6.124669023331857
FP-MUSIC/aic,FP-MUSIC/aic,,snr,8deg,-10,200,25600,15190,0.593359375,0.13215679986997045,7.572026866504373,5.794154424249828,0.6708203125,7.735968546893095,5.989697216104984
FP-MUSIC/oracle,FP-MUSIC/oracle,,snr,8deg,-10,200,25600,25600,1.0,0.23048102306473145,13.205589879466494,10.148255322449868,0.48234375,13.205589879466492,10.148255322449868
1bMUSIC-naive/mdl,1bMUSIC-naive/mdl,,snr,8deg,-8,200,25600,6406,0.250234375,0.09209486021285829,5.2766468050440665,4.365337600965955,0.71421875,7.602687955759715,6.248206369172557
