model,family,seed,sweep,min_sep,snr_db,snapshots,num_tests,num_kok,k_accuracy,rmspe_rad,rmspe_deg,mae_deg,sr5,rmspe_deg_kok,mae_deg_kok
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,8deg,-10,200,25600,6394,0.249765625,0.20688048456627203,11.853378629268752,9.753262164188136,0.142109375,16.11668545066889,12.837780609652611
Trans-MUSIC/seed1,Trans-MUSIC,1,snr,8deg,-10,200,25600,6371,0.2488671875,0.1950993943000224,11.178371878949994,9.282833469799384,0.1509375,15.811426224055047,12.678960218353021
Trans-MUSIC/seed2,Trans-MUSIC,2,snr,8deg,-10,200,25600,6367,0.2487109375,0.21143851073244055,12.114534291500403,10.0402290861482,0.134140625,17.094398205618344,13.804291895385646
TCN-MUSIC/seed0,TCN-MUSIC,0,snr,8deg,-10,200,25600,6395,0.2498046875,0.18607347312678815,10.661224689505902,8.698913308205569,0.1994140625,15.363133911688216,12.009016788002635
TCN-MUSIC/seed1,TCN-MUSIC,1,snr,8deg,-10,200,25600,6421,0.2508203125,0.19808411772795925,11.349383934384594,9.4024794424098,0.1572265625,16.263204561411126,13.033098443661883
TCN-MUSIC/seed2,TCN-MUSIC,2,snr,8deg,-10,200,25600,6394,0.249765625,0.20442633727454695,11.712766347149445,9.607331145224187,0.149140625,16.858271860236215,13.379791098935407
DA-MUSIC/seed0,DA-MUSIC,0,snr,8deg,-10,200,25600,6327,0.2471484375,0.19497982326503685,11.171520963293311,9.231652567868567,0.1400390625,15.145178128197037,12.07823872646235
DA-MUSIC/seed1,DA-MUSIC,1,snr,8deg,-10,200,25600,6380,0.24921875,0.21807278133810523,12.49464999735269,10.476068164455649,0.1023046875,17.153567589345027,13.965723328256988
DA-MUSIC/seed2,DA-MUSIC,2,snr,8deg,-10,200,25600,6381,0.2492578125,0.2256758276077338,12.930272460045092,10.90635569105065,0.0889453125,17.612014517809648,14.423199209802277
LCPSN-uncovON/seed0,LCPSN-uncovON,0,snr,8deg,-10,200,25600,6426,0.251015625,0.12929682874275664,7.408162591385749,5.36282973124682,0.583125,12.966247613014339,9.026444831957265
LCPSN-uncovON/seed1,LCPSN-uncovON,1,snr,8deg,-10,200,25600,6333,0.2473828125,0.11730571388769659,6.721122318534182,4.875121428944132,0.60953125,12.35319612198571,8.55740341520596
LCPSN-uncovON/seed2,LCPSN-uncovON,2,snr,8deg,-10,200,25600,6324,0.24703125,0.11409187000854287,6.536982628244722,4.733633051923853,0.6190234375,12.104236469538629,8.38203586478704
LCPSN-uncovOFF/seed0,LCPSN-uncovOFF,0,snr,8deg,-10,200,25600,7616,0.2975,0.21041369487122977,12.05581666787496,9.582058596380897,0.58359375,25.087137364683066,19.750091443147433
LCPSN-uncovOFF/seed1,LCPSN-uncovOFF,1,snr,8deg,-10,200,25600,8718,0.340546875,0.2507711956044282,14.368131131583356,11.440725317548333,0.50171875,25.608458621516544,20.27381454433776
LCPSN-uncovOFF/seed2,LCPSN-uncovOFF,2,snr,8deg,-10,200,25600,8801,0.3437890625,0.24209194684449253,13.87084680829489,10.811703354039503,0.457421875,23.065513314172637,18.030905605102028
Trans-MUSIC/seed0,Trans-MUSIC,0,snr,8deg,-8,200,25600,6351,0.2480859375,0.16111148929379254,9.231008367601461,7.560178480701596,0.2324609375,12.345590103068155,9.543674824205485
Trans-MUSIC/seed1,Trans-MUSIC,1,snr,8deg,-8,200,25600,6349,0.2480078125,0.1619191874079702,9.277286060664517,7.67931893580294,0.2225,13.368359630224255,10.502170105629231
Trans-MUSIC/seed2,Trans-MUSIC,2,snr,8deg,-8,200,25600,6363,0.2485546875,0.17573160805074065,10.068679468354638,8.287212604472952,0.2037890625,14.610862279537862,11.533300276099487
TCN-MUSIC/seed0,TCN-MUSIC,0,snr,8deg,-8,200,25600,6307,0.2463671875,0.15169863976809794,8.691691816587442,7.041518070158881,0.2950390625,12.347486122485057,9.434684803396605
TCN-MUSIC/seed1,TCN-MUSIC,1,snr,8deg,-8,200,25600,6467,0.2526171875,0.1652936782265348,9.470630142573913,7.817116678164378,0.2228515625,13.698290819951158,10.800094620287341
TCN-MUSIC/seed2,TCN-MUSIC,2,snr,8deg,-8,200,25600,6472,0.2528125,0.16349070151567646,9.367327186481353,7.632006188335572,0.246953125,13.75621108891244,10.629451561861156
DA-MUSIC/seed0,DA-MUSIC,0,snr,8deg,-8,200,25600,6477,0.2530078125,0.16844003278058378,9.650902979372686,7.96782666807473,0.1972265625,12.504600737732234,9.891241009357003
DA-MUSIC/seed1,DA-MUSIC,1,snr,8deg,-8,200,25600,6358,0.248359375,0.18567830107954886,10.638582999017547,8.903457024003227,0.150234375,15.201007525899609,12.237015771256011
DA-MUSIC/seed2,DA-MUSIC,2,snr,8deg,-8,200,25600,6320,0.246875,0.19483115322004618,11.163002797175325,9.40092662792452,0.1306640625,16.072637193343553,13.040000294886198
